"race","state","modeldate","candidate_name","pct_estimate","pct_trend_adjusted","timestamp","contestdate"
"2020D","National","2/25/2020","Joseph R. Biden Jr.",16.08508,NA,"23:29:04 25 Feb 2020",""
"2020D","National","2/24/2020","Pete Buttigieg",10.46011,NA,"19:49:05 24 Feb 2020",""
"2020D","National","2/24/2020","Tulsi Gabbard",1.300333,NA,"19:49:05 24 Feb 2020",""
"2020D","National","2/24/2020","Tom Steyer",2.330005,NA,"19:49:05 24 Feb 2020",""
"2020D","National","2/24/2020","Amy Klobuchar",5.448638,NA,"19:49:05 24 Feb 2020",""
"2020D","National","2/24/2020","Michael Bloomberg",16.29476,NA,"19:49:05 24 Feb 2020",""
"2020D","National","2/24/2020","Elizabeth Warren",12.91917,NA,"19:49:05 24 Feb 2020",""
"2020D","National","2/24/2020","Bernard Sanders",27.47283,NA,"19:49:05 24 Feb 2020",""
"2020D","National","2/24/2020","Joseph R. Biden Jr.",15.4102,NA,"19:49:05 24 Feb 2020",""
"2020D","National","2/23/2020","Pete Buttigieg",10.40043,NA,"21:20:47 23 Feb 2020",""
"2020D","National","2/23/2020","Tulsi Gabbard",1.263842,NA,"21:20:47 23 Feb 2020",""
"2020D","National","2/23/2020","Tom Steyer",2.285014,NA,"21:20:47 23 Feb 2020",""
"2020D","National","2/23/2020","Amy Klobuchar",5.522536,NA,"21:20:47 23 Feb 2020",""
"2020D","National","2/23/2020","Michael Bloomberg",16.02699,NA,"21:20:47 23 Feb 2020",""
"2020D","National","2/23/2020","Elizabeth Warren",12.87715,NA,"21:20:47 23 Feb 2020",""
"2020D","National","2/23/2020","Bernard Sanders",26.54076,NA,"21:20:47 23 Feb 2020",""
"2020D","National","2/23/2020","Joseph R. Biden Jr.",16.09425,NA,"21:20:47 23 Feb 2020",""
"2020D","National","2/22/2020","Pete Buttigieg",10.9361,NA,"01:00:05 22 Feb 2020",""
"2020D","National","2/22/2020","Tulsi Gabbard",1.548802,NA,"01:00:05 22 Feb 2020",""
"2020D","National","2/22/2020","Tom Steyer",2.220537,NA,"01:00:05 22 Feb 2020",""
"2020D","National","2/22/2020","Amy Klobuchar",5.815108,NA,"01:00:05 22 Feb 2020",""
"2020D","National","2/22/2020","Michael Bloomberg",16.50733,NA,"01:00:05 22 Feb 2020",""
"2020D","National","2/22/2020","Elizabeth Warren",11.88072,NA,"01:00:05 22 Feb 2020",""
"2020D","National","2/22/2020","Bernard Sanders",25.89244,NA,"01:00:05 22 Feb 2020",""
"2020D","National","2/22/2020","Joseph R. Biden Jr.",15.56353,NA,"01:00:05 22 Feb 2020",""
"2020D","National","2/21/2020","Pete Buttigieg",10.9361,NA,"22:36:04 21 Feb 2020",""
"2020D","National","2/21/2020","Tulsi Gabbard",1.548802,NA,"22:36:04 21 Feb 2020",""
"2020D","National","2/21/2020","Tom Steyer",2.220537,NA,"22:36:04 21 Feb 2020",""
"2020D","National","2/21/2020","Amy Klobuchar",5.815108,NA,"22:36:04 21 Feb 2020",""
"2020D","National","2/21/2020","Michael Bloomberg",16.50733,NA,"22:36:04 21 Feb 2020",""
"2020D","National","2/21/2020","Elizabeth Warren",11.88072,NA,"22:36:04 21 Feb 2020",""
"2020D","National","2/21/2020","Bernard Sanders",25.89244,NA,"22:36:04 21 Feb 2020",""
