"Candidate","Total_Absolute_Sentiment","Percent_Sentiment","Total_Sentiment","Count_Tweets","Percent_Tweets","Average_Sentiment","Average_Absolute_Sentiment","Date"
"sanders",1671.50253580545,0.241654224314513,408.887327262254,5426,0.240077872660502,0.0753570452013,0.308054282308414,"2/13/2020"
"steyer",115.592128629004,0.0167115069121,40.8437922957249,379,0.0167691695057741,0.107767261993997,0.304992423823231,"2/13/2020"
"warren",1245.04289153746,0.179999651659399,368.456751862453,3972,0.175744436086899,0.0927635326944745,0.313454907235011,"2/13/2020"
"biden",436.404704704043,0.0751843284334688,92.177599187672,1481,0.0787137921870848,0.0622401074866118,0.29466894308173,"2/14/2020"
"bloomberg",1645.11265283614,0.283421990339835,229.062749936324,5154,0.273930374701036,0.0444436845045255,0.319191434388076,"2/14/2020"
"buttigieg",743.150581224936,0.128030877696954,361.546536035849,2346,0.124687749136327,0.15411190794367,0.316773478783008,"2/14/2020"
"klobuchar",342.945183452307,0.0590830094850616,153.416326946598,1180,0.0627159181504119,0.130013836395422,0.29063151140026,"2/14/2020"
"sanders",1551.24104071897,0.267249675880523,407.300445838724,5167,0.274621312782355,0.0788272587262869,0.30022083234352,"2/14/2020"
"steyer",113.3664992702,0.0195309171111335,50.8659548303969,401,0.0213127823545044,0.12684776765685,0.282709474489278,"2/14/2020"
"warren",972.243031184253,0.167499201053024,486.555634056869,3086,0.164018070688281,0.157665467938065,0.315049588847781,"2/14/2020"
"biden",404.116538903309,0.0821447616093668,74.7369230040204,1426,0.086330064172418,0.0524101844347969,0.283391682260385,"2/15/2020"
"bloomberg",1416.93347973474,0.288020042993067,59.3548504803011,4708,0.285022399806272,0.0126072324724514,0.300962931124626,"2/15/2020"
"buttigieg",597.222553300412,0.121397417689796,275.927528031935,1989,0.120414093715946,0.138726761202582,0.300262721619111,"2/15/2020"
"klobuchar",388.955806279238,0.0790630397609927,110.296335660431,1304,0.078944182104371,0.0845830794941958,0.298278992545428,"2/15/2020"
"sanders",1209.77414016927,0.245910767757909,359.777625731106,4183,0.253238890906889,0.086009473041144,0.289212082278095,"2/15/2020"
"steyer",121.114157966891,0.0246188727160457,21.0365360416702,410,0.0248214069499939,0.0513086244918784,0.295400385285101,"2/15/2020"
"warren",781.448868495543,0.158845097472823,398.465402404853,2498,0.151228962344109,0.159513771979525,0.312829811247215,"2/15/2020"
"biden",584.096445222134,0.110037228033056,93.187528612421,1897,0.10796812749004,0.0491236313191465,0.307905348034863,"2/16/2020"
"bloomberg",1453.42668292185,0.273809307771386,-47.2436662384356,4874,0.277404667046101,-0.00969299676619525,0.298199975979043,"2/16/2020"
"buttigieg",693.136581301407,0.130579168352428,272.752210602339,2286,0.130108138873079,0.11931417786629,0.303209353150222,"2/16/2020"
"klobuchar",440.828524484245,0.0830471564566718,120.969531391821,1502,0.085486624928856,0.0805389689692549,0.293494357179923,"2/16/2020"
"sanders",1171.68475616883,0.220732284457531,208.962952447935,3943,0.224416619237336,0.0529959301161388,0.297155657156689,"2/16/2020"
"steyer",133.399611111329,0.0251309925740017,29.8122161017255,455,0.0258964143426295,0.0655213540697264,0.293185958486437,"2/16/2020"
"warren",831.598602872775,0.156663862354926,393.103305020253,2613,0.148719408081958,0.150441371993974,0.3182543447657,"2/16/2020"
"biden",549.854490869725,0.0882107144516637,107.886645118802,1723,0.0861112499375281,0.0626155804520033,0.31912622801493,"2/17/2020"
"bloomberg",2010.53409149904,0.322541056925869,-182.475481721385,6381,0.318906492078565,-0.0285966904437212,0.315081349553211,"2/17/2020"
"buttigieg",646.757027989551,0.10375635820552,244.869088416248,2155,0.107701534309561,0.113628347292922,0.300119270528794,"2/17/2020"
"klobuchar",335.393498265197,0.0538056896791362,86.8375800993364,1116,0.0557749012944175,0.0778114517019144,0.300531808481359,"2/17/2020"
"sanders",1446.35038320915,0.232031569749504,297.701762087132,4906,0.245189664650907,0.0606811581914252,0.294812552631298,"2/17/2020"
"steyer",104.857894287349,0.0168218863800742,20.0809176888415,362,0.0180918586636014,0.0554721483117168,0.289662691401515,"2/17/2020"
"warren",1139.67328491452,0.182832724608232,533.33149873783,3366,0.168224299065421,0.158446672233461,0.338583863610968,"2/17/2020"
"biden",620.06996985149,0.0862075015155373,118.89362420211,2005,0.0837755400493043,0.0592985656868377,0.309261830349871,"2/18/2020"
"bloomberg",2130.17810647439,0.296155823166597,-74.6343459278123,7258,0.303263276647307,-0.0102830457326829,0.293493814614823,"2/18/2020"
"buttigieg",641.743888122285,0.0892207974869978,268.351402714749,2205,0.0921322023983621,0.121701316423922,0.291040312073599,"2/18/2020"
"klobuchar",347.057492905666,0.0482509407007882,91.5432156237652,1167,0.0487611248067522,0.078443201048642,0.297392881667238,"2/18/2020"
"sanders",1747.77348813663,0.242990618725562,321.01935909568,6047,0.252663686123762,0.0530873754085794,0.289031501262879,"2/18/2020"
"steyer",119.863095013645,0.0166644063532388,16.203621530274,394,0.0164626248276438,0.0411259429702385,0.304221053334123,"2/18/2020"
"warren",1586.07513399455,0.220509912051278,732.261047150881,4857,0.202941545146868,0.150764061591699,0.326554485071968,"2/18/2020"
"biden",657.310888925487,0.0756656433612975,124.940737089706,2271,0.077389674561254,0.0550157362790428,0.289436763067145,"2/19/2020"
"bloomberg",2001.57434196089,0.230409099973247,5.35268276537553,7093,0.24171068325098,0.000754642995259485,0.282190094735781,"2/19/2020"
"buttigieg",1304.7847055864,0.150198902619073,521.532723078856,4088,0.139308229681377,0.127576497817724,0.319174340896868,"2/19/2020"
"klobuchar",578.938805760142,0.0666439244240608,171.658917896002,1942,0.0661782245697734,0.0883928516457269,0.298114730051567,"2/19/2020"
"sanders",2172.36004084911,0.250068913922794,236.539494360083,7364,0.250945646617822,0.0321210611569912,0.294997289631873,"2/19/2020"
"steyer",110.902729425131,0.0127664496570172,28.8000272423905,397,0.0135287101720906,0.0725441492251651,0.279351963287485,"2/19/2020"
"warren",1861.17401734949,0.21424706604251,508.434644673852,6190,0.210938831146703,0.0821380686064381,0.300674316211549,"2/19/2020"
"biden",3627.66652067167,0.165435180992894,1689.25965360066,11281,0.185098283726578,0.149743786331057,0.321573133646988,"3/02/2020"
"bloomberg",1258.22648794196,0.057379840615612,217.421394575314,4204,0.0689790962491386,0.0517177437143944,0.299292694562789,"3/02/2020"
"buttigieg",7177.22737835645,0.327308451203974,5516.27883306467,16298,0.26741705772323,0.338463543567595,0.440374731768097,"3/02/2020"
"klobuchar",2658.58275092522,0.121241331329007,1715.56869005911,6851,0.112410986775178,0.250411427537456,0.388057619460695,"3/02/2020"
"sanders",3432.02916751158,0.156513384916937,1185.50852340945,11254,0.184655268598431,0.105341080807664,0.30496082881745,"3/02/2020"
"warren",3774.29109868086,0.172121810941577,2012.90227270264,11058,0.181439306927444,0.182031314225234,0.341317697475209,"3/02/2020"
"biden",2110.78398965082,0.0704865020143355,181.941970783,7631,0.0724925427013471,0.0238424807735552,0.276606472238346,"2/20/2020"
"bloomberg",6520.2928489529,0.217735513100895,-70.6693288460786,23769,0.225799403416108,-0.00297317215053552,0.274319190918966,"2/20/2020"
"buttigieg",3753.57978202838,0.125345231991588,682.471635779746,12937,0.122898181749093,0.0527534695663404,0.29014298384698,"2/20/2020"
"klobuchar",2899.66835225712,0.0968301257515636,128.130503402355,9844,0.0935154750821728,0.0130161015240101,0.294562002464152,"2/20/2020"
"sanders",4210.9297114748,0.140617754846243,622.245259097994,14721,0.139845724165448,0.0422692248555121,0.286049161841913,"2/20/2020"
"steyer",193.892707955584,0.00647475952863235,32.5916768882648,690,0.00655482301977847,0.0472343143308185,0.281003924573311,"2/20/2020"
"warren",10256.784514211,0.342510112766742,3456.07762839356,35674,0.338893849866054,0.0968794536187015,0.287514282508577,"2/20/2020"
"biden",776.518376543709,0.0905051207862065,211.448984777155,2489,0.0881967329293788,0.0849533888216772,0.311980062894218,"2/21/2020"
"bloomberg",1601.8095534271,0.186694831041463,45.6038618492313,5510,0.195244675950533,0.00827656294904379,0.290709537827059,"2/21/2020"
"buttigieg",979.854231315202,0.114204413233311,406.66493396132,3021,0.107047943021154,0.134612689162966,0.324347643599868,"2/21/2020"
"klobuchar",420.431204236465,0.0490022877386079,81.7524918346998,1360,0.0481910633925091,0.060112126349044,0.309140591350342,"2/21/2020"
"sanders",2037.97110985206,0.237530529897998,365.382392501888,7035,0.249282449239928,0.0519377956648028,0.289690278585937,"2/21/2020"
"steyer",128.59940945956,0.014988576494451,43.4213580677334,414,0.0146699266503667,0.104882507409984,0.310626592897488,"2/21/2020"
"warren",2634.64419338062,0.307074240807962,984.99689736428,8392,0.29736720881613,0.117373319514333,0.313947115512467,"2/21/2020"
"biden",703.296258300123,0.0866917181243334,116.08451461165,2381,0.0869708149176316,0.0487545210464723,0.295378520915633,"2/22/2020"
"bloomberg",1178.62619621186,0.145283198609527,64.0594248075634,4034,0.147349965299339,0.0158798772453057,0.292173077890893,"2/22/2020"
"buttigieg",878.42091792618,0.10827843559901,468.295323636847,2739,0.100047485115243,0.170973100999214,0.320708622828105,"2/22/2020"
